,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Falling,Lina Mayer,Pop,2wYHz0GOHV49Xezd5mWTDP,Falling,0.0315,0.447,201385,0.594,1.02e-06,5,0.111,-5.996,1,0.0448,164.05,4,0.521
1,No Tears Left To Cry,Ariana Grande,Pop,5SxkdsY1ufZzoq9iXceLw9,No Tears Left To Cry,0.0375,0.703,205947,0.696,5.65e-06,0,0.274,-5.482,1,0.0529,121.969,4,0.366
2,The Middle,Zedd,Pop,2ARqIya5NAuvFVHSN3bL0m,The Middle,0.208,0.748,184732,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,4,0.431
3,Never Be the Same (Radio Edit),Camila Cabello,Pop,0BlY60NrN0fFWbdW3RW40q,Never Be the Same - Radio Edit,0.156,0.652,227077,0.682,0.00013,0,0.121,-4.38,1,0.0788,129.942,4,0.269
4,All Your Fault: Pt. 2,Bebe Rexha,Pop,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
5,Finesse (Remix) [feat. Cardi B],Bruno Mars,Pop,3Vo4wInECJQuz9BIBMOu8i,Finesse (Remix) [feat. Cardi B],0.0185,0.704,217289,0.859,0.0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926
6,Pray For Me (with Kendrick Lamar),The Weeknd,Pop,4ofvoCdXq99vpMZO4Cfp8x,Pray For Me (with Kendrick Lamar),0.0805,0.728,211440,0.668,1.49e-05,2,0.102,-5.02,1,0.126,100.537,4,0.162
7,Scary Hours,Drake,Pop,6T8cJz5lAqGer9GUHGyelE,God's Plan,0.0283,0.755,198960,0.448,3.28e-05,7,0.514,-9.587,1,0.107,77.179,4,0.318
8,Him & I,G-Eazy,Pop,3YU6vJbjYUG0tiJyXf9x5V,Him & I,0.0534,0.589,268867,0.731,0.0,2,0.308,-6.343,1,0.0868,87.908,4,0.191
9,Perception,NF,Pop,6mrKP2jyIQmM0rw6fQryjr,Let You Down,0.33,0.659,212120,0.716,0.0,5,0.173,-5.673,0,0.111,148.015,4,0.437
10,Dua Lipa (Deluxe),Dua Lipa,Pop,2ekn2ttSfGqwhhate0LSR0,New Rules,0.00256,0.771,208827,0.696,9.71e-06,9,0.179,-6.258,0,0.0755,116.054,4,0.656
11,÷ (Deluxe),Ed Sheeran,Pop,0tgVpDi06FyKpA1z0VMD4v,Perfect,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
12,Evolve,Imagine Dragons,Pop,4IWAyPf1KMq7JCyGeCjTeH,Whatever It Takes,0.0429,0.675,201240,0.649,0.0,1,0.128,-4.953,1,0.0315,134.955,4,0.537
13,Red Pill Blues (Deluxe),Maroon 5,Pop,1Qg9jWGDkKAGZXj5v2OG59,Wait,0.0889,0.659,190643,0.604,0.0,8,0.105,-5.084,1,0.0542,126.135,4,0.407
14,Mine,Bazzi,Pop,6tHWl8ows5JOZq9Yfaqn3M,Mine,0.014,0.716,133995,0.805,3.1e-06,4,0.291,-3.839,1,0.0856,142.886,4,0.719
15,FRIENDS,Marshmello,Pop,08bNPGLD8AhKpnnERrAc6G,FRIENDS,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534
16,In My Blood,Shawn Mendes,Pop,79jX8RM5CgPqDKdGEKNW9K,In My Blood,0.0524,0.628,211600,0.715,0.0,5,0.119,-7.097,1,0.0541,139.991,4,0.429
17,Man of the Woods,Justin Timberlake,Pop,1LhMopPAallLeaeNutqbgS,Say Something,0.103,0.707,278893,0.632,1.09e-05,10,0.0841,-7.031,1,0.0789,97.04,4,0.372
18,No Excuses,Meghan Trainor,Pop,7fCNUWi6uflDTQ08srxMZk,No Excuses,0.0224,0.827,152862,0.658,0.0,6,0.0417,-3.846,1,0.0517,115.016,4,0.523
19,I Like Me Better,Lauv,Pop,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,0.535,0.752,197437,0.505,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,0.419
20,All The Stars (with SZA),Kendrick Lamar,Pop,12SJpYZEdj4kzWZ8FPFg4Y,All The Stars (with SZA),0.0322,0.715,235540,0.62,0.0142,5,0.0881,-5.428,0,0.0507,96.812,4,0.456
21,Tell Me You Love Me,Demi Lovato,Pop,5Htb1uFQ1KrkFXlefS8oGj,Tell Me You Love Me,0.0247,0.516,236987,0.592,0.0,3,0.181,-5.465,0,0.0566,82.05,4,0.271
22,Psycho (feat. Ty Dolla $ign),Post Malone,Pop,7wrDRQgHlvDnimrRHfQZxt,Psycho (feat. Ty Dolla $ign),0.59,0.748,220880,0.546,0.0,8,0.112,-8.134,1,0.106,140.005,4,0.413
23,IDGAF,Dua Lipa,Pop,5BG3hnp2SmFmoBIs3YTqsm,IDGAF,0.0433,0.836,218173,0.552,0.0,7,0.0773,-5.66,1,0.0851,97.036,4,0.525
24,Want You Back,5 Seconds of Summer,Pop,2Pvr8rYuh5J8V7QglJhH6W,Want You Back,0.00748,0.608,173073,0.873,0.0,0,0.196,-4.928,1,0.0424,98.009,4,0.589
25,reputation,Taylor Swift,Pop,7CneiDesUKFJO3Ix01dnfr,Delicate,0.216,0.75,232253,0.404,0.000357,9,0.0911,-10.178,0,0.0682,95.045,4,0.0499
26,Flicker (Deluxe),Niall Horan,Pop,4kVo85bcmBkvMBcJl42XCA,On The Loose,0.00745,0.721,223814,0.613,2.55e-06,11,0.125,-7.051,0,0.0332,124.012,4,0.665
27,Alone (Feat. Big Sean & Stefflon Don),Halsey,Pop,3tbNT2X5tfMIVeUflYbZUZ,Alone (Feat. Big Sean & Stefflon Don),0.0164,0.445,207458,0.662,0.0,2,0.219,-4.802,0,0.181,200.04,4,0.479
28,No Roots,Alice Merton,Pop,7anBA0IdgFaN3Pbyk2tog0,No Roots,0.264,0.863,235813,0.657,0.00619,7,0.0713,-7.295,1,0.105,115.958,4,0.829
29,Sit Next to Me (Versions),Foster The People,Pop,3E5NUvTLszM8uymKQ227MP,Sit Next to Me - Radio Edit,0.0865,0.678,202600,0.747,0.000174,6,0.147,-5.416,0,0.0289,97.004,4,0.815
30,Trust Fund Baby,Why Don't We,Pop,54j7EaJPDmSZYcNYvLSJ78,Trust Fund Baby,0.0629,0.624,184460,0.785,0.0,8,0.135,-3.337,1,0.0498,163.929,4,0.593
31,One Kiss (with Dua Lipa),Calvin Harris,Pop,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592
32,Done For Me (feat. Kehlani),Charlie Puth,Pop,76S09sHj7GGMJAtOLjmVQ2,Done For Me (feat. Kehlani),0.173,0.854,180535,0.627,0.0,6,0.0663,-3.737,0,0.0732,112.003,4,0.722
33,Everyday,Logic,Pop,6zOhgKfbMiQWToE6K13s2s,Everyday,0.0426,0.675,204827,0.748,0.0,1,0.0785,-3.947,1,0.0388,149.923,4,0.469
34,Sick Boy...Everybody Hates Me,The Chainsmokers,Pop,3pIigjAWkzwAonXpJ1fmSF,Everybody Hates Me,0.00836,0.471,224027,0.755,0.0,11,0.368,-6.612,0,0.0455,154.801,4,0.512
35,Merengue,Kent Jones,Pop,3EypXSP7JVjtusvnBtAIBo,Merengue,0.47,0.717,191032,0.864,0.0,1,0.147,-3.231,1,0.216,112.97,4,0.738
36,Culture II,Migos,Pop,2tek8UnoiJdkmpPMqa5KRQ,Stir Fry,0.00316,0.814,190288,0.819,0.0,2,0.133,-5.48,1,0.251,181.958,4,0.517
37,Love Lies (with Normani),Khalid,Pop,45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.338
38,The Click,AJR,Pop,7bXvOMQ3UrcTS1dO9Ppzsg,Sober Up,0.277,0.647,218760,0.616,0.0,5,0.0816,-4.948,1,0.0272,93.019,4,0.79
39,Sober,G-Eazy,Pop,0GOJobsbOSIF99y6CGr5o6,Sober,0.263,0.558,203960,0.766,0.0,6,0.32,-5.953,0,0.231,96.281,4,0.182
40,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,Pop,5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.194,0.653,210773,0.809,0.0,0,0.165,-4.057,1,0.0474,92.213,4,0.55
41,Tattoo (How 'Bout You),In Real Life,Pop,76bAIHM7qJk1iMDM4WbWoI,Tattoo (How 'Bout You),0.196,0.865,229295,0.591,0.0,0,0.0784,-6.039,1,0.237,109.03,4,0.597
42,Hearts Ain't Gonna Lie (with Jonas Blue),Arlissa,Pop,1bfPwJtmZdqv6MPY5Wr7eH,Hearts Ain't Gonna Lie (with Jonas Blue),0.0864,0.438,201264,0.731,0.0,6,0.13,-4.566,0,0.0603,92.958,4,0.466
43,Damaged Vol. 1,bülow,Pop,0olvO9l53TxK1j0v4wrC5y,Not A Love Song,0.14,0.737,192293,0.523,6.12e-05,7,0.127,-10.25,1,0.0703,91.993,4,0.305
44,Sky Walker,Miguel,Pop,1DRW9bQzt2SE8f7H4KJZyL,Sky Walker,0.0876,0.629,260077,0.717,0.0,6,0.358,-5.706,1,0.0638,145.959,4,0.129
45,Over My Head,Echosmith,Pop,3haxUceS8i97BLoB7WH3Mj,Over My Head,0.0968,0.656,208233,0.723,0.0,11,0.343,-4.975,0,0.0262,105.049,4,0.904
46,Pray,Sam Smith,Pop,3n3b5WNEohHP7Ou4ndBo6b,Pray,0.224,0.637,221760,0.448,0.0,4,0.0887,-7.968,0,0.0617,87.919,3,0.224
47,Freaky Friday (feat. Chris Brown),Lil Dicky,Pop,10Igtw8bSDyyFs7KIsKngZ,Freaky Friday (feat. Chris Brown),0.147,0.755,216632,0.599,0.0,8,0.109,-5.042,1,0.224,133.123,4,0.755
48,Catch A Body (feat. Quavo),LIVVIA,Pop,1D2NjsP1malEdluqvBdMS0,Catch A Body (feat. Quavo),0.247,0.716,202309,0.871,0.0,6,0.204,-4.371,0,0.194,90.973,4,0.609
49,BOOMIVERSE,Big Boi,Pop,2Bb3mu3lfUrcRoTi3IcvQc,All Night,0.0567,0.849,241898,0.823,0.0,4,0.0855,-4.563,1,0.0441,135.929,4,0.846
50,Make Me Feel,Janelle Monáe,Pop,79GsUxLyzxgnN4I1E11dtO,Make Me Feel,0.122,0.865,194965,0.436,0.0,1,0.155,-5.756,1,0.186,115.019,4,0.629
51,Revival,Eminem,Pop,6Ww0J5EFjiPxkgZpEkRQVN,Nowhere Fast (feat. Kehlani),0.261,0.708,264173,0.729,0.0,11,0.0692,-4.621,1,0.188,79.024,4,0.644
52,Lights Down Low,MAX,Pop,5brHijrNA7UAFw74p4f5v3,Lights Down Low,0.0632,0.623,223847,0.493,0.0,5,0.104,-7.727,0,0.0338,81.019,4,0.594
53,hopeless fountain kingdom (Deluxe),Halsey,Pop,2TBQoW7s6iwKcg139ssqie,Bad At Love,0.057,0.664,181279,0.753,0.0,0,0.088,-3.589,1,0.0323,118.253,4,0.54
54,Havana,Camila Cabello,Pop,0ofbQMrRDsUaVKq2mGLEAb,Havana,0.186,0.768,216897,0.517,3.8e-05,7,0.104,-4.323,0,0.0312,104.992,4,0.418
55,Wolves,Selena Gomez,Pop,0tBbt8CrmxbjRP0pueQkyU,Wolves,0.129,0.72,197993,0.807,0.0,11,0.183,-4.59,0,0.0432,124.946,4,0.305
56,rockstar,Post Malone,Pop,7wGoVu4Dady5GV0Sv4UIsx,rockstar,0.13,0.577,218320,0.522,9.03e-05,5,0.142,-6.594,0,0.0984,159.772,4,0.119
57,Sorry Not Sorry,Demi Lovato,Pop,25C5CowdsfXld2jJanbiex,Sorry Not Sorry,0.0252,0.701,203760,0.638,0.0,11,0.256,-6.889,0,0.238,144.084,4,0.868
58,How Long,Charlie Puth,Pop,32DGGj6KlNuBr6WaqRxpxi,How Long,0.189,0.849,198237,0.581,3.61e-06,1,0.0805,-5.243,0,0.0767,110.008,4,0.779
59,Evolve,Imagine Dragons,Pop,0tKcYR2II1VCQWT79i5NrW,Thunder,0.00683,0.6,187147,0.81,0.21,0,0.155,-4.749,1,0.0479,167.88,4,0.298
60,Strip That Down,Liam Payne,Pop,6EpRaXYhGOB3fj4V2uDkMJ,Strip That Down,0.246,0.869,204502,0.485,0.0,6,0.0765,-5.595,1,0.0545,106.028,4,0.527
61,Attention,Charlie Puth,Pop,4iLqG9SeJSnt0cSPICSjxv,Attention,0.0969,0.774,211475,0.626,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,0.777
62,Shape of You,Ed Sheeran,Pop,0FE9t6xYkqWXU2ahLh6D8X,Shape of You,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
63,Feel It Still,Portugal. The Man,Pop,7FESgYLcOufHqKlwrvJN60,Feel It Still,0.0406,0.78,163251,0.798,6.31e-05,1,0.0733,-5.151,0,0.0613,78.969,4,0.771
64,Illuminate (Deluxe),Shawn Mendes,Pop,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,0.381,0.857,199440,0.8,0.0,2,0.0913,-4.035,1,0.0583,121.996,4,0.966
65,Good Old Days (feat. Kesha),Macklemore,Pop,3vGmmVqWM33agHxB19EcAi,Good Old Days (feat. Kesha),0.446,0.712,240507,0.51,2.46e-05,8,0.112,-8.162,1,0.0633,122.964,4,0.268
66,Slow Hands,Niall Horan,Pop,167NczpNbRF7oWakJaY3Hh,Slow Hands,0.0142,0.728,188174,0.426,0.0,0,0.0546,-6.69,1,0.0509,85.908,4,0.844
67,It Ain't Me (with Selena Gomez),Kygo,Pop,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),0.119,0.64,220781,0.533,0.0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515
68,24K Magic,Bruno Mars,Pop,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,0.013,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86
69,Stay,Zedd,Pop,0dA2Mk56wEzDgegdC6R17g,Stay (with Alessia Cara),0.232,0.679,210091,0.634,0.0,5,0.115,-5.024,0,0.0654,102.013,4,0.498
70,Everybody,Logic,Pop,5aFQU3VPCQ3YGfKBA4tLfj,1-800-273-8255,0.568,0.627,250173,0.572,1.52e-06,5,0.198,-7.738,0,0.0373,100.041,4,0.361
71,Something Just Like This,The Chainsmokers,Pop,1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,0.0306,0.607,247627,0.649,2.46e-05,11,0.174,-6.695,0,0.0362,102.996,4,0.505
72,What Lovers Do (feat. SZA),Maroon 5,Pop,4mxWSdf71VFO52qFeY0fZt,What Lovers Do (feat. SZA),0.0767,0.795,199849,0.608,2.92e-06,5,0.0853,-5.222,0,0.0694,110.001,4,0.386
73,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,Pop,5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,0.229,0.694,228827,0.815,0.0,2,0.0924,-4.328,1,0.12,88.931,4,0.813
74,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,Pop,5AEtlRudpgdT5FtNiuly6Y,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.0393,0.659,174800,0.717,0.0,8,0.0769,-4.202,1,0.0581,103.036,4,0.71
75,American Teen,Khalid,Pop,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,0.199,0.798,202547,0.539,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,0.394
76,Closer,The Chainsmokers,Pop,7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
77,No Promises (feat. Demi Lovato),Cheat Codes,Pop,1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),0.0575,0.741,223504,0.667,0.0,10,0.106,-5.445,1,0.134,112.956,4,0.595
78,Evolve,Imagine Dragons,Pop,0CcQNd8CINkwQfe1RDtGV6,Believer,0.0524,0.779,204347,0.787,0.0,10,0.14,-4.305,0,0.108,124.982,4,0.708
79,Encore,DJ Snake,Pop,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142
80,Know-It-All (Deluxe),Alessia Cara,Pop,42ydLwx4i5V49RXHOozJZq,Scars To Your Beautiful,0.0298,0.321,230227,0.754,0.0,0,0.11,-5.733,1,0.292,191.768,4,0.413
81,Now Or Never,Halsey,Pop,1mDGDb2fUmUMdqV3tb8VKQ,Now Or Never,0.107,0.67,214802,0.585,1.11e-06,6,0.131,-4.861,0,0.0354,110.03,4,0.447
82,Starboy,The Weeknd,Pop,7lQqaqZu0vjxzpdATOIsDt,Starboy,0.159,0.68,230467,0.594,2.35e-06,7,0.134,-7.021,1,0.28,186.04,4,0.475
83,Unforgettable,French Montana,Pop,1F2HXIJrE2Xn81OzT2zZvW,Unforgettable,0.0293,0.726,233833,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733
84,Don't Let Me Down,The Chainsmokers,Pop,1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,0.157,0.532,208373,0.869,0.00508,11,0.136,-5.094,1,0.172,159.803,4,0.422
85,Cheap Thrills,Sia,Pop,6b3b7lILUJqXcp6w9wNQSm,Cheap Thrills,0.0561,0.592,224813,0.8,2.01e-06,6,0.0775,-4.931,0,0.215,89.972,4,0.728
86,This Is What You Came For,Calvin Harris,Pop,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.465
87,Dangerous Woman,Ariana Grande,Pop,4pLwZjInHj3SimIyN9SnOz,Side To Side,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.883,0,0.247,159.145,4,0.603
88,24K Magic,Bruno Mars,Pop,2gFvRmQiWg9fN9i74Q0aiw,24K Magic,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632
89,I Feel It Coming,The Weeknd,Pop,0VeYT2aD9t65JgofFZGpKl,I Feel It Coming,0.413,0.768,269187,0.814,0.0,0,0.0839,-5.91,0,0.151,92.979,4,0.541
90,Issues,Julia Michaels,Pop,1sXUWdKx03aP9Gmzft58rt,Issues,0.368,0.683,176347,0.427,0.0,8,0.0604,-6.827,1,0.0777,113.634,4,0.426
91,Say You Won't Let Go,James Arthur,Pop,1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,0.693,0.4,211240,0.564,0.0,10,0.0863,-7.444,1,0.0523,99.269,4,0.483
92,I'm the One,DJ Khaled,Pop,72Q0FQQo32KJloivv5xge2,I'm the One,0.0533,0.599,288877,0.667,0.0,7,0.134,-4.267,1,0.0367,80.984,4,0.817
93,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Pop,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,251088,0.763,0.0,9,0.18,-4.068,0,0.0523,101.965,4,0.742
94,Blurryface,Twenty One Pilots,Pop,2Z8WuEywRWYTKe1NybPQEW,Ride,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,1,0.0393,74.989,4,0.566
95,Treat You Better,Shawn Mendes,Pop,53B2XmmjJ9rriW1qciMBeX,Treat You Better,0.121,0.45,187973,0.825,0.0,10,0.109,-4.066,0,0.372,82.823,4,0.742
96,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Pop,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701
97,Paris,The Chainsmokers,Pop,15vzANxN8G9wWfwAJLLMCg,Paris,0.0243,0.646,221520,0.644,0.0,2,0.0888,-6.763,1,0.031,99.999,4,0.251
98,Wild Thoughts,DJ Khaled,Pop,4IIUaKqGMElZ3rGtuvYlNc,Wild Thoughts,0.0287,0.613,204664,0.681,0.0,8,0.126,-3.089,1,0.0778,97.621,4,0.619
99,One Dance,Drake,Pop,0JoaFxLgrqbWutREzcZBzS,One Dance,0.00802,0.771,173975,0.629,0.00252,1,0.356,-5.79,1,0.0511,103.918,4,0.362
0,Piece Of Me,Bullet For My Valentine,Metal,7uODYAQGgOU21nSxkjafmV,Piece Of Me,0.00706,0.447,206007,0.942,0.0,1,0.0693,-4.561,1,0.0722,138.775,4,0.198
1,Prey,Parkway Drive,Metal,6aPDAyrtj011Mzjg9NK0tT,Prey,3.28e-05,0.27,255231,0.964,0.0247,6,0.525,-4.545,1,0.0866,99.731,3,0.325
2,Fen of Shadows,Skeletonwitch,Metal,0xGsgz7zJJwy2kNb3LEe1D,Fen of Shadows,7.22e-06,0.379,478507,0.898,0.469,4,0.484,-4.955,0,0.0674,140.041,4,0.0696
3,Country Heroes,DevilDriver,Metal,5akgD0VyDme6NGXi57DfqP,Country Heroes,5.51e-05,0.336,221920,0.87,0.329,9,0.0531,-4.893,1,0.0873,130.127,4,0.0439
4,Lives,Daron Malakian and Scars On Broadway,Metal,6jl3XQPqTMd5d9etAp7kJ2,Lives,0.0102,0.527,245428,0.947,0.0,0,0.163,-1.975,0,0.0399,142.057,4,0.489
5,Medicated,Sevendust,Metal,3Arp7lY86WpQMnrHLXRv6M,Medicated,8.07e-05,0.477,209052,0.925,0.0,10,0.314,-5.219,0,0.158,140.009,4,0.264
6,Rats,Ghost,Metal,5zuY71mWmwarLSzzJHygP2,Rats,6.11e-06,0.522,261573,0.944,0.482,2,0.135,-5.731,0,0.0936,124.029,4,0.236
7,When Legends Rise,Godsmack,Metal,6wt1Y7oZoOPXTsG2calurz,When Legends Rise,0.000277,0.437,172826,0.907,6e-06,4,0.0994,-4.284,0,0.245,124.033,4,0.477
8,Old Fashioned,Madball,Metal,50zwsMOQ19FNmUMtqBMzyf,Old Fashioned,4.2e-05,0.494,130907,0.994,6.69e-05,6,0.19,-4.77,0,0.0511,92.546,4,0.458
9,Sham Pain,Five Finger Death Punch,Metal,03HyPRDdAwvkovBE6XubBC,Sham Pain,0.000176,0.554,209703,0.938,2.9e-06,11,0.147,-4.901,0,0.0532,96.5,4,0.4
10,Kerosene,Burn The Priest,Metal,5MwRlODXZXo2AuPvMAgiY5,Kerosene,3.62e-05,0.436,372804,0.975,0.344,1,0.39,-5.395,0,0.143,199.976,4,0.262
11,Big Tings,Skindred,Metal,1HquAMQ1212Fzp2zBvHlVI,Machine,0.000175,0.454,212020,0.972,0.000645,7,0.238,-2.788,1,0.0999,145.971,4,0.477
12,Persevere,Sink The Ship,Metal,3RzyghmdGPDn6NeEXamC2v,Nail Biter,1.58e-05,0.41,213333,0.994,0.0,9,0.0918,-3.958,0,0.156,135.035,4,0.0813
13,House of Doom,Candlemass,Metal,0MLniYYTnLHcSKytBjR0jj,House of Doom,0.00035,0.211,381413,0.916,0.0137,6,0.108,-6.242,0,0.0638,105.965,3,0.149
14,Dropout,Pallbearer,Metal,1PaejblOMlnQiMUUn85DBF,Dropout,0.000407,0.317,314994,0.894,0.0283,2,0.0813,-5.958,1,0.069,130.301,4,0.375
15,Waste,Zeal & Ardor,Metal,3nPjOr3fbBHzsHNCWnEBC7,Waste,5.22e-05,0.147,199347,0.799,0.845,0,0.252,-5.877,1,0.0756,162.785,4,0.0933
16,Shadowlands,Mos Generator,Metal,7lxPjFRAPmlVkHD6ded89T,Shadowlands,0.000685,0.375,274560,0.969,0.00147,5,0.196,-5.727,0,0.0723,144.329,4,0.676
17,Loyal to the Soil,Wolf King,Metal,5EqVCH2hex0pQHiO0FH9bX,Hail the Ash,2.29e-05,0.343,272500,0.963,0.87,0,0.163,-4.709,1,0.0911,180.061,4,0.108
18,Werwolf,Marduk,Metal,7IoJyfqqHtm6Sq6PPMKilD,Werwolf,2.02e-05,0.412,122880,0.995,9.21e-05,9,0.245,-5.359,1,0.0905,155.012,4,0.183
19,Daggers of Black Haze,At The Gates,Metal,57n95eCpLXKEc6ww9Q2PKR,Daggers of Black Haze,7.35e-06,0.116,283529,0.914,0.775,4,0.128,-6.464,0,0.0524,169.623,4,0.271
20,Shades Ablaze,Aura Noir,Metal,77CdUFrya4BKSHyNQRjsmA,Shades Ablaze,5.44e-06,0.158,176165,0.998,0.253,6,0.357,-3.857,0,0.176,138.528,4,0.0328
21,Party Monster,Siamese,Metal,7iV1VkQhsPrI2h9mPQYDfm,Party Monster,0.00749,0.597,173419,0.866,5.62e-06,4,0.0881,-6.574,0,0.059,154.996,4,0.672
22,A Meditation Upon Death,Nonexist,Metal,0rw4O9dcTXWYNygvsBHnab,A Meditation Upon Death,1.13e-06,0.105,347538,0.884,0.863,7,0.452,-8.288,1,0.0632,177.732,4,0.227
23,Lechery,Nekrokraft,Metal,4Tkz6tlWzQckC7Prr4Q0m6,Lechery,1.33e-06,0.164,314440,0.938,0.214,5,0.159,-5.476,1,0.102,112.516,3,0.0437
24,A Grotesque Reflection,Light This City,Metal,750WF02D3eoxYwCesfsweY,A Grotesque Reflection,6.36e-06,0.445,208873,0.98,0.232,10,0.112,-4.36,0,0.114,102.432,4,0.0997
25,Grave Condition,Blood Tsunami,Metal,6rii5E2Smr3EUf3an3vrAg,Allegory of the Cave,3.73e-05,0.41,177627,0.993,0.328,3,0.0779,-3.831,1,0.103,92.625,4,0.301
26,Hand of the Divine,The Agony Scene,Metal,3A6czTc03gZxTDMVNEVjpa,Hand of the Divine,1.9e-06,0.193,211392,0.986,0.821,2,0.088,-3.9,1,0.0904,95.094,1,0.195
27,Sons Of Salem,Orange Goblin,Metal,2jHJZPMCFUVaYnQBOUiNcU,Sons Of Salem,4.92e-06,0.374,180013,0.902,0.783,0,0.0899,-5.304,0,0.104,107.591,4,0.618
28,Chaos Theory and Practice,Alkaloid,Metal,4XDC57xHtx1kfJuxnbeipB,Chaos Theory and Practice,0.00139,0.252,511011,0.962,4.77e-06,2,0.421,-5.522,0,0.238,112.153,3,0.201
29,Faux Pharaoh,Lucifer,Metal,73fRKpP43h62djNE8wJF2t,Faux Pharaoh,0.0495,0.164,325613,0.789,2.56e-05,9,0.206,-6.604,1,0.0738,144.598,4,0.319
30,Hatred Index,Witch Casket,Metal,1nqxKuZulR8ZfqRtRh4h2X,Hatred Index,1.85e-05,0.475,257200,0.978,0.668,6,0.132,-5.503,1,0.113,116.067,4,0.205
31,Fire Up,Verni,Metal,5iJrCtmkmNNiLLZra5X7YL,Fire Up,0.000599,0.527,240707,0.994,0.000104,2,0.0714,-2.285,1,0.0898,101.983,4,0.449
32,With Man in Charge,Violation Wound,Metal,4kEU9JYj1UsUhXTI3nVgiH,Dangerous Idiot,1.7e-06,0.173,140813,0.983,0.00128,1,0.355,-3.893,1,0.148,185.172,4,0.214
33,The Spark That Moves,Cancer Bats,Metal,7aM5GAbVs78BODFqKh6TJV,Gatekeeper,1.17e-05,0.205,167280,0.977,0.012,5,0.346,-4.18,0,0.204,140.367,4,0.149
34,Eat The Elephant,A Perfect Circle,Metal,4R5kwDx0ryIMiK2PKqbNVY,"So Long, And Thanks For All The Fish",0.00144,0.5,266093,0.873,0.0613,2,0.0715,-3.869,1,0.0369,130.048,4,0.325
35,Celebration of the Twisted,LIK,Metal,7knHTs6yKuh51o2t2wyYWL,Celebration of the Twisted,1.47e-06,0.184,236500,0.992,0.3,0,0.0547,-4.696,1,0.14,150.037,4,0.126
