,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
13,reputation,Taylor Swift,Country,6NFyWDv5CjfwuzoCkw47Xf,Delicate,0.228,0.745,232253,0.41,0.000383,9,0.0906,-10.212,0,0.0779,95.022,4,0.0596
14,Life Changes,Thomas Rhett,Country,30MM5jWpUmOxtTNd9Ey5LZ,Unforgettable,0.032,0.663,157080,0.738,0.000225,7,0.0856,-5.48,1,0.0303,130.02,4,0.825
15,Parallel Line,Keith Urban,Country,6W4DY8jGf8POlFsMQhR2E6,Parallel Line,0.204,0.617,253084,0.482,0.0,0,0.216,-5.121,1,0.0322,81.73,4,0.508
16,Mabelle - EP,Seth Ennis,Country,7AK5vh1cRnO3YxAjOjL4Yy,Look At You,0.042,0.687,195418,0.625,0.0,1,0.151,-6.942,0,0.0284,104.027,4,0.866
17,This One's for You,Luke Combs,Country,5gfK6bZFaApxdSHsHXrwPD,Be Careful What You Wish For,0.0106,0.501,175493,0.876,0.0,3,0.135,-4.792,1,0.0404,159.025,4,0.681
18,Austin Burke,Austin Burke,Country,5H4YGepZNnPhnOHA9vZSEP,Whole Lot in Love,0.353,0.791,166787,0.715,0.0,7,0.115,-5.809,1,0.0377,112.027,4,0.593
19,Kiss Somebody,Morgan Evans,Country,1mJMD1VIQ7jWTP9DK2zmY0,Kiss Somebody,0.143,0.492,212445,0.681,0.0,6,0.199,-7.038,1,0.075,178.01,4,0.511
20,The Long Way,Brett Eldredge,Country,1KTLLe980WR4RLKg74Ud6e,The Long Way,0.265,0.488,208653,0.637,0.0,10,0.106,-7.63,1,0.0401,88.872,4,0.23
21,Shoot Me Straight (Radio Edit),Brothers Osborne,Country,0ya80Qhw7hgeJp2L6zvxcj,Shoot Me Straight - Radio Edit,0.00766,0.636,207053,0.784,1.07e-05,2,0.0806,-6.01,1,0.0454,96.996,4,0.613
22,Famous,Mason Ramsey,Country,2HGymMoOdB4ZYv0AAqYmgF,Famous,0.708,0.534,192520,0.815,0.0,5,0.111,-2.815,1,0.0278,159.848,4,0.564
23,You Make It Easy,Jason Aldean,Country,2ZxTjs4EdJl4Y9YByIiNoo,You Make It Easy,0.143,0.375,196800,0.574,0.0,7,0.11,-5.305,1,0.0315,132.025,3,0.406
24,This One's for You,Luke Combs,Country,1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,0.013,0.551,240760,0.801,6.03e-06,6,0.265,-5.069,1,0.0303,128.027,4,0.625
25,Eyes On You,Chase Rice,Country,2u7Nm46dAujcAi5Rw79CJL,Eyes On You,0.323,0.606,182493,0.652,0.0,9,0.201,-6.982,1,0.0281,97.155,4,0.476
26,Cry Pretty,Carrie Underwood,Country,47gqRMoIkFm7Rac86xZVh7,Cry Pretty,0.00495,0.351,246467,0.736,0.0,6,0.109,-3.318,1,0.0459,140.299,3,0.237
27,Say Something,Justin Timberlake,Country,09ts3GnICqYEU5PkQCpJK3,Say Something,0.103,0.707,278893,0.632,1.09e-05,10,0.0841,-7.031,1,0.0789,97.04,4,0.372
28,Happens Like That,Granger Smith,Country,5Zx1zVpDJsNgyY3HvNfsfC,Happens Like That,0.189,0.557,171493,0.807,0.0,7,0.234,-5.428,1,0.0825,81.045,4,0.578
29,Hallelujah Nights,LANCO,Country,77a5Eu7lC3tG0Sukt2O91U,Born to Love You,0.13,0.659,230013,0.902,9.45e-05,7,0.0574,-6.192,1,0.0296,124.985,4,0.809
30,Keeper of the Flame (Radio Edit),Miranda Lambert,Country,6Hey64wSB5r98RMd4ozzsy,Keeper of the Flame - Radio Edit,0.303,0.631,219945,0.662,6.18e-06,6,0.17,-6.392,1,0.0326,116.563,4,0.268
31,Slower,Filmore,Country,7M1PQZeyqslVtY5ZiYBGLo,Slower,0.107,0.687,172534,0.75,3.05e-06,11,0.161,-4.537,1,0.0965,98.987,4,0.911
32,Losing Sleep,Chris Young,Country,6CyJlVAEFlNdpggOLanytL,Hangin' On,0.0651,0.434,185440,0.831,0.0,8,0.119,-4.774,1,0.0453,156.034,4,0.596
33,Caught Up In The Country,Rodney Atkins,Country,2BgunkkepMPFpArQj1Dx5s,Caught Up In The Country,0.00719,0.564,160991,0.904,0.0,7,0.528,-3.808,1,0.0582,124.102,4,0.637
34,Golden Hour,Kacey Musgraves,Country,30VHURM5NOfoZmqp2iKawS,Butterflies,0.252,0.689,219053,0.614,1.95e-05,4,0.178,-6.137,0,0.0306,141.97,4,0.411
35,All On Me,Devin Dawson,Country,2Nc8Imt04W3ZmcBF8dPQKc,All On Me,0.144,0.631,227573,0.658,0.0,5,0.22,-5.313,1,0.0281,80.996,4,0.7
36,Yours,Russell Dickerson,Country,6RSNKGdv3nDTHqgw4bdzyF,Yours,0.119,0.555,216960,0.722,0.0,11,0.0861,-6.005,1,0.034,134.058,4,0.559
37,Hello Beautiful,Noah Schnacky,Country,4pYd8dIohiqc3KsxSRqf0w,Hello Beautiful,0.54,0.504,216993,0.472,0.0,9,0.306,-6.925,1,0.0404,73.521,4,0.313
38,Life Changes,Thomas Rhett,Country,4Vxu50qVrQcycjRyJQaZLC,Life Changes,0.105,0.687,190227,0.842,0.0,7,0.0436,-4.382,1,0.058,87.968,4,0.778
39,Texoma Shore,Blake Shelton,Country,5slddJ629YcePvqD6Uyk8r,I Lived It,0.476,0.557,219600,0.571,0.00114,10,0.101,-8.106,1,0.0281,80.981,4,0.392
40,Coming Home,Keith Urban,Country,7qLE35vc5XvUVrm8Kg9Vmx,Coming Home,0.204,0.384,214728,0.705,4.66e-06,4,0.0686,-6.949,1,0.243,89.572,4,0.522
41,Kane Brown (Deluxe Edition),Kane Brown,Country,1HXy5I3HTWq8OvxCn0z7G7,Heaven,0.263,0.677,179507,0.556,0.0,9,0.105,-6.544,1,0.0306,80.009,4,0.521
42,Current Mood,Dustin Lynch,Country,7rdK9NSJIRBZAiXC0vuBS9,I'd Be Jealous Too,0.0896,0.716,185707,0.718,0.0,0,0.473,-5.355,1,0.0293,100.934,4,0.537
43,Heart Break,Lady Antebellum,Country,3YZ5TNGA10oTLaADq4zuNV,Heart Break,0.0486,0.512,188293,0.88,1.45e-05,2,0.313,-5.47,1,0.0369,167.979,4,0.696
44,Written in the Sand,Old Dominion,Country,6usHXaTn54uwwozmH00d3X,Written in the Sand,0.593,0.725,184080,0.437,0.0,6,0.0842,-9.602,1,0.0575,83.985,4,0.759
45,Tequila,Dan + Shay,Country,7Il2yWQmsqKgSkLQvHTPUI,Tequila,0.0292,0.474,195987,0.594,0.0,11,0.133,-5.756,1,0.0289,86.131,4,0.503
46,Life Changes,Thomas Rhett,Country,0OWZFobGSIW9GrSlQ9C5pc,Marry Me,0.113,0.588,205453,0.408,0.0,3,0.13,-8.662,1,0.0237,85.008,4,0.484
47,All Your Fault: Pt. 2,Bebe Rexha,Country,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
48,Mitchell Tenpenny - EP,Mitchell Tenpenny,Country,3N2AIfVOq6NiTcWHIP4Oco,Drunk Me,0.201,0.386,213024,0.799,0.0,2,0.103,-3.789,1,0.0555,86.333,4,0.391
49,Unapologetically,Kelsea Ballerini,Country,4Bzs0eTQVVJxBSz4ljzics,I Hate Love Songs,0.252,0.384,191187,0.446,0.0,11,0.185,-7.807,1,0.0299,180.181,3,0.399
50,Singles You Up,Jordan Davis,Country,3IPkbTA8KkdDXyWtGkfFXa,Singles You Up,0.0441,0.489,182693,0.9,0.0,7,0.247,-3.563,1,0.0488,200.054,4,0.611
51,Take Back Home Girl (Feat. Tori Kelly),Chris Lane,Country,2gVBXeTjwL0ZEh9gjsQjk0,Take Back Home Girl (Feat. Tori Kelly),0.368,0.494,211427,0.78,0.0,11,0.0921,-3.825,1,0.064,159.708,4,0.664
52,Get Along,Kenny Chesney,Country,2ZFrEp20VO25BXYhMxh0GW,Get Along,0.0997,0.602,199627,0.805,0.0,7,0.172,-6.079,1,0.0473,92.401,4,0.322
53,Josh Mirenda,Josh Mirenda,Country,1dbRZljBhUrIFrpLTXOXqq,I Got You,0.081,0.49,170440,0.88,0.0,7,0.103,-5.185,1,0.0731,91.93,4,0.493
54,California Sunrise,Jon Pardi,Country,1Be8liECvEP5NYZjYvukbI,She Ain't In It,0.123,0.56,198467,0.679,2.46e-05,5,0.224,-4.527,1,0.0236,92.928,4,0.622
